batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
9,8,37,32,2,115.62,6.25,0,3,4
9,8,37,32,2,115.62,6.25,0,3,11
9,8,37,32,2,115.62,6.25,0,3,14
9,8,37,32,2,115.62,6.25,0,3,15
9,10,24,25,0,96.0,0.0,0,9,4
9,10,24,25,0,96.0,0.0,0,9,9
9,10,24,25,0,96.0,0.0,0,9,14
9,17,25,21,0,119.05,0.0,0,9,10
9,17,25,21,0,119.05,0.0,0,9,14
9,17,25,21,0,119.05,0.0,0,9,19
9,34,28,21,0,133.33,0.0,0,6,3
9,34,28,21,0,133.33,0.0,0,6,4
9,34,28,21,0,133.33,0.0,0,6,11
9,34,28,21,0,133.33,0.0,0,6,14
9,34,28,21,0,133.33,0.0,0,6,15
9,37,29,22,0,131.82,0.0,0,2,0
9,37,29,22,0,131.82,0.0,0,2,14
9,38,36,32,1,112.5,3.12,0,0,0
9,38,36,32,1,112.5,3.12,0,0,14
9,41,30,27,1,111.11,3.7,0,2,4
9,41,30,27,1,111.11,3.7,0,2,14
9,43,38,23,2,165.22,8.7,0,6,10
9,43,38,23,2,165.22,8.7,0,6,14
9,45,43,31,1,138.71,3.23,0,11,14
9,45,43,31,1,138.71,3.23,0,11,17
9,47,40,21,0,190.48,0.0,0,4,12
9,47,40,21,0,190.48,0.0,0,4,14
9,55,32,22,0,145.45,0.0,0,10,0
9,55,32,22,0,145.45,0.0,0,10,14
9,67,65,38,1,171.05,2.63,0,4,10
9,67,65,38,1,171.05,2.63,0,4,14
9,74,24,20,0,120.0,0.0,0,10,2
9,74,24,20,0,120.0,0.0,0,10,14
9,75,26,21,1,123.81,4.76,0,11,7
9,75,26,21,1,123.81,4.76,0,11,14
9,76,31,33,0,93.94,0.0,0,10,4
9,76,31,33,0,93.94,0.0,0,10,14
9,76,31,33,0,93.94,0.0,0,10,17
9,81,47,20,1,235.0,5.0,0,3,0
9,81,47,20,1,235.0,5.0,0,3,4
9,81,47,20,1,235.0,5.0,0,3,14
9,82,43,39,2,110.26,5.13,0,2,12
9,82,43,39,2,110.26,5.13,0,2,14
9,82,43,39,2,110.26,5.13,0,2,17
9,82,43,39,2,110.26,5.13,0,2,19
9,84,65,41,2,158.54,4.88,0,10,10
9,84,65,41,2,158.54,4.88,0,10,14
9,92,28,30,0,93.33,0.0,0,2,9
9,92,28,30,0,93.33,0.0,0,2,14
10,59,38,22,1,172.73,4.55,1,5,14
10,65,20,21,2,95.24,9.52,1,11,14
10,65,20,21,2,95.24,9.52,1,11,19
11,8,51,35,2,145.71,5.71,0,3,1
11,8,51,35,2,145.71,5.71,0,3,2
11,8,51,35,2,145.71,5.71,0,3,8
11,8,51,35,2,145.71,5.71,0,3,11
11,8,51,35,2,145.71,5.71,0,3,18
11,8,51,35,2,145.71,5.71,0,3,19
11,12,30,25,0,120.0,0.0,0,3,4
11,12,30,25,0,120.0,0.0,0,3,6
11,12,30,25,0,120.0,0.0,0,3,19
11,17,50,24,0,208.33,0.0,0,9,18
11,17,50,24,0,208.33,0.0,0,9,19
11,20,17,28,1,60.71,3.57,0,10,7
11,20,17,28,1,60.71,3.57,0,10,14
11,20,17,28,1,60.71,3.57,0,10,19
11,30,23,22,0,104.55,0.0,0,7,3
11,30,23,22,0,104.55,0.0,0,7,10
11,30,23,22,0,104.55,0.0,0,7,19
11,30,23,22,0,104.55,0.0,0,7,20
11,34,48,26,0,184.62,0.0,0,6,2
11,34,48,26,0,184.62,0.0,0,6,8
11,34,48,26,0,184.62,0.0,0,6,14
11,34,48,26,0,184.62,0.0,0,6,19
11,56,48,32,1,150.0,3.12,0,2,6
11,56,48,32,1,150.0,3.12,0,2,10
11,56,48,32,1,150.0,3.12,0,2,19
11,63,25,22,0,113.64,0.0,0,6,3
11,63,25,22,0,113.64,0.0,0,6,19
11,64,41,28,0,146.43,0.0,0,11,9
11,64,41,28,0,146.43,0.0,0,11,14
11,64,41,28,0,146.43,0.0,0,11,17
11,64,41,28,0,146.43,0.0,0,11,19
11,67,44,35,1,125.71,2.86,0,4,9
11,67,44,35,1,125.71,2.86,0,4,10
