batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
A Manohar,Ravi Bishnoi,1,2,0,50.0,0.0,Right-hand,Right-arm legbreak
A Manohar,SN Thakur,0,2,1,0.0,50.0,Right-hand,Right-arm medium-fast
A Manohar,SP Narine,1,2,0,50.0,0.0,Right-hand,Right-arm offbreak
A Manohar,Sandeep Sharma,2,2,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Manohar,Shivam Mavi,2,3,0,66.67,0.0,Right-hand,Right-arm fast
A Manohar,Suyash Sharma,0,1,1,0.0,100.0,Right-hand,Right-arm legbreak
A Manohar,T Natarajan,11,4,0,275.0,0.0,Right-hand,Left-arm medium-fast
A Manohar,T Stubbs,4,3,1,133.33,33.33,Right-hand,Right-arm offbreak
A Manohar,TA Boult,25,11,1,227.27,9.09,Right-hand,Left-arm fast-medium
A Manohar,TG Southee,0,1,0,0.0,0.0,Right-hand,Right-arm fast-medium
A Manohar,TU Deshpande,0,1,1,0.0,100.0,Right-hand,Right-arm medium-fast
A Manohar,UT Yadav,13,5,0,260.0,0.0,Right-hand,Right-arm fast
A Manohar,Umran Malik,9,7,1,128.57,14.29,Right-hand,Right-arm fast
A Manohar,YS Chahal,23,13,1,176.92,7.69,Right-hand,Right-arm legbreak
A Mhatre,Arshad Khan,28,6,0,466.67,0.0,Right-hand,Right-arm offbreak
A Mhatre,Arshdeep Singh,2,3,0,66.67,0.0,Right-hand,Left-arm medium-fast
A Mhatre,Ashwani Kumar,17,4,0,425.0,0.0,Right-hand,Right-arm medium
A Mhatre,B Kumar,38,12,0,316.67,0.0,Right-hand,Right-arm medium
A Mhatre,DL Chahar,13,10,1,130.0,10.0,Right-hand,Right-arm medium
A Mhatre,HV Patel,1,1,0,100.0,0.0,Right-hand,Right-arm offbreak
A Mhatre,JD Unadkat,9,5,0,180.0,0.0,Right-hand,Left-arm medium-fast
A Mhatre,KH Pandya,15,11,0,136.36,0.0,Right-hand,Left-arm orthodox
