batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand_encoded,bowling_style_encoded
GJ Maxwell,YS Chahal,43,23,0,186.96,0.0,1,8
H Klaasen,AR Patel,29,21,1,138.1,4.76,1,4
H Klaasen,CV Varun,78,37,1,210.81,2.7,1,8
H Klaasen,HV Patel,35,23,2,152.17,8.7,1,11
H Klaasen,Harshit Rana,48,26,2,184.62,7.69,1,7
H Klaasen,JJ Bumrah,41,25,2,164.0,8.0,1,6
H Klaasen,Rashid Khan,46,32,1,143.75,3.12,1,8
H Klaasen,SN Thakur,35,22,2,159.09,9.09,1,10
H Klaasen,SP Narine,70,40,0,175.0,0.0,1,11
H Klaasen,Sandeep Sharma,36,22,2,163.64,9.09,1,10
H Klaasen,TA Boult,33,24,0,137.5,0.0,1,2
H Klaasen,YS Chahal,53,28,1,189.29,3.57,1,8
HH Pandya,A Nortje,37,30,1,123.33,3.33,1,6
HH Pandya,AR Patel,36,35,0,102.86,0.0,1,4
HH Pandya,Arshdeep Singh,20,29,1,68.97,3.45,1,3
HH Pandya,Avesh Khan,35,40,3,87.5,7.5,1,6
HH Pandya,B Kumar,27,22,1,122.73,4.55,1,9
HH Pandya,CV Varun,21,25,1,84.0,4.0,1,8
HH Pandya,KH Pandya,29,33,1,87.88,3.03,1,4
HH Pandya,KK Ahmed,37,26,3,142.31,11.54,1,2
HH Pandya,Kuldeep Yadav,40,33,0,121.21,0.0,1,0
HH Pandya,M Prasidh Krishna,43,34,1,126.47,2.94,1,6
HH Pandya,OC McCoy,25,20,0,125.0,0.0,1,2
HH Pandya,R Ashwin,69,41,0,168.29,0.0,1,11
HH Pandya,Ravi Bishnoi,63,30,0,210.0,0.0,1,8
HH Pandya,YS Chahal,48,54,3,88.89,5.56,1,8
Ishan Kishan,AR Patel,59,36,1,163.89,2.78,0,4
Ishan Kishan,B Kumar,62,34,1,182.35,2.94,0,9
Ishan Kishan,KH Pandya,60,38,0,157.89,0.0,0,4
Ishan Kishan,KK Ahmed,58,36,0,161.11,0.0,0,2
Ishan Kishan,Lalit Yadav,24,31,1,77.42,3.23,0,11
Ishan Kishan,M Prasidh Krishna,30,26,1,115.38,3.85,0,6
Ishan Kishan,Mohammed Shami,29,30,0,96.67,0.0,0,6
Ishan Kishan,Mohammed Siraj,55,45,1,122.22,2.22,0,6
Ishan Kishan,R Ashwin,25,29,1,86.21,3.45,0,11
Ishan Kishan,Rashid Khan,31,32,2,96.88,6.25,0,8
Ishan Kishan,Ravi Bishnoi,22,31,4,70.97,12.9,0,8
Ishan Kishan,SN Thakur,56,29,1,193.1,3.45,0,10
Ishan Kishan,SP Narine,47,34,1,138.24,2.94,0,11
Ishan Kishan,Sandeep Sharma,35,22,1,159.09,4.55,0,10
Ishan Kishan,TA Boult,36,35,2,102.86,5.71,0,2
Ishan Kishan,TU Deshpande,24,27,0,88.89,0.0,0,10
Ishan Kishan,VG Arora,20,23,3,86.96,13.04,0,10
Ishan Kishan,Washington Sundar,21,24,0,87.5,0.0,0,11
JC Buttler,AR Patel,38,29,1,131.03,3.45,1,4
JC Buttler,Avesh Khan,37,25,2,148.0,8.0,1,6
JC Buttler,B Kumar,47,44,2,106.82,4.55,1,9
JC Buttler,CV Varun,53,31,1,170.97,3.23,1,8
JC Buttler,DR Sams,30,22,0,136.36,0.0,1,7
JC Buttler,HH Pandya,46,30,2,153.33,6.67,1,10
JC Buttler,HV Patel,40,27,0,148.15,0.0,1,11
JC Buttler,Harshit Rana,40,24,1,166.67,4.17,1,7
JC Buttler,JJ Bumrah,38,53,1,71.7,1.89,1,6
JC Buttler,JR Hazlewood,38,24,1,158.33,4.17,1,7
JC Buttler,KK Ahmed,60,44,1,136.36,2.27,1,2
JC Buttler,Kuldeep Yadav,63,41,1,153.66,2.44,1,0
JC Buttler,M Jansen,46,26,1,176.92,3.85,1,2
JC Buttler,M Theekshana,55,39,1,141.03,2.56,1,11
JC Buttler,MA Starc,51,28,0,182.14,0.0,1,1
JC Buttler,Mohammed Shami,61,48,1,127.08,2.08,1,6
JC Buttler,Mohammed Siraj,52,39,2,133.33,5.13,1,6
JC Buttler,Mukesh Kumar,33,22,1,150.0,4.55,1,10
JC Buttler,PJ Cummins,42,30,3,140.0,10.0,1,6
JC Buttler,PWH de Silva,52,29,0,179.31,0.0,1,11
JC Buttler,RA Jadeja,27,27,2,100.0,7.41,1,4
JC Buttler,Rashid Khan,21,36,1,58.33,2.78,1,8
JC Buttler,SP Narine,15,23,0,65.22,0.0,1,11
JC Buttler,Sandeep Sharma,55,32,1,171.88,3.12,1,10
JC Buttler,Shivam Mavi,20,20,0,100.0,0.0,1,6
JC Buttler,TU Deshpande,28,24,0,116.67,0.0,1,10
JC Buttler,UT Yadav,40,29,0,137.93,0.0,1,6
JC Buttler,Yash Dayal,100,51,1,196.08,1.96,1,2
JM Bairstow,M Prasidh Krishna,47,22,0,213.64,0.0,1,6
JM Bairstow,Mohammed Siraj,52,26,1,200.0,3.85,1,6
JM Bairstow,R Ashwin,21,20,0,105.0,0.0,1,11
JM Bairstow,TA Boult,58,30,0,193.33,0.0,1,2
JM Sharma,Kuldeep Yadav,31,28,2,110.71,7.14,1,0
JM Sharma,Rashid Khan,37,23,1,160.87,4.35,1,8
JM Sharma,YS Chahal,41,38,3,107.89,7.89,1,8
JP Inglis,KH Pandya,30,20,1,150.0,5.0,1,4
KA Pollard,M Prasidh Krishna,28,31,0,90.32,0.0,1,6
KD Karthik,AD Russell,44,20,1,220.0,5.0,1,6
KD Karthik,Arshdeep Singh,37,22,3,168.18,13.64,1,3
KD Karthik,Avesh Khan,32,28,2,114.29,7.14,1,6
KD Karthik,M Theekshana,40,22,0,181.82,0.0,1,11
KD Karthik,Mustafizur Rahman,54,28,0,192.86,0.0,1,2
KD Karthik,RA Jadeja,30,22,1,136.36,4.55,1,4
KD Karthik,T Natarajan,38,21,1,180.95,4.76,1,3
KD Karthik,TU Deshpande,35,25,2,140.0,8.0,1,10
KD Karthik,YS Chahal,19,24,1,79.17,4.17,1,8
KH Pandya,HV Patel,39,29,1,134.48,3.45,0,11
KH Pandya,Kuldeep Yadav,31,32,1,96.88,3.12,0,0
KH Pandya,Mukesh Kumar,43,27,1,159.26,3.7,0,10
KH Pandya,R Ashwin,16,20,1,80.0,5.0,0,11
KL Rahul,AR Patel,17,26,0,65.38,0.0,1,4
KL Rahul,Arshdeep Singh,42,35,2,120.0,5.71,1,3
KL Rahul,Avesh Khan,58,39,1,148.72,2.56,1,6
KL Rahul,B Kumar,52,51,2,101.96,3.92,1,9
KL Rahul,C Sakariya,61,38,3,160.53,7.89,1,3
KL Rahul,CH Morris,31,20,0,155.0,0.0,1,7
KL Rahul,CV Varun,32,30,0,106.67,0.0,1,8
KL Rahul,DL Chahar,74,42,0,176.19,0.0,1,9
KL Rahul,DR Sams,43,31,0,138.71,0.0,1,7
KL Rahul,HV Patel,45,32,1,140.62,3.12,1,11
KL Rahul,J Yadav,17,21,0,80.95,0.0,1,11
KL Rahul,JD Unadkat,42,27,1,155.56,3.7,1,3
KL Rahul,JJ Bumrah,53,50,0,106.0,0.0,1,6
KL Rahul,JR Hazlewood,85,52,1,163.46,1.92,1,7
KL Rahul,K Rabada,66,36,3,183.33,8.33,1,6
KL Rahul,KH Pandya,41,36,0,113.89,0.0,1,4
KL Rahul,M Pathirana,23,22,2,104.55,9.09,1,6
