batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
DP Conway,A Nortje,30,21,1,142.86,4.76,Left-hand,Right-arm fast
DP Conway,B Kumar,17,21,0,80.95,0.0,Left-hand,Right-arm medium
DP Conway,GJ Maxwell,28,24,0,116.67,0.0,Left-hand,Right-arm offbreak
DP Conway,KK Ahmed,32,26,1,123.08,3.85,Left-hand,Left-arm fast-medium
DP Conway,Kuldeep Yadav,43,20,0,215.0,0.0,Left-hand,Left-arm chinaman
DP Conway,M Jansen,69,36,0,191.67,0.0,Left-hand,Left-arm fast-medium
DP Conway,Noor Ahmad,23,23,1,100.0,4.35,Left-hand,Left-arm wrist-spin
Dhruv Jurel,KH Pandya,23,25,0,92.0,0.0,Right-hand,Left-arm orthodox
Dhruv Jurel,PJ Cummins,37,20,1,185.0,5.0,Right-hand,Right-arm fast
Dhruv Jurel,Suyash Sharma,25,20,0,125.0,0.0,Right-hand,Right-arm legbreak
F du Plessis,AD Russell,34,21,0,161.9,0.0,Right-hand,Right-arm fast
F du Plessis,AR Patel,18,20,1,90.0,5.0,Right-hand,Left-arm orthodox
F du Plessis,Abhishek Sharma,38,29,0,131.03,0.0,Right-hand,Left-arm orthodox
F du Plessis,Arshdeep Singh,62,55,1,112.73,1.82,Right-hand,Left-arm medium-fast
F du Plessis,Avesh Khan,50,36,1,138.89,2.78,Right-hand,Right-arm fast
F du Plessis,B Kumar,62,39,0,158.97,0.0,Right-hand,Right-arm medium
F du Plessis,CV Varun,69,48,2,143.75,4.17,Right-hand,Right-arm legbreak
F du Plessis,Harpreet Brar,66,38,1,173.68,2.63,Right-hand,Left-arm orthodox
F du Plessis,JD Unadkat,56,28,1,200.0,3.57,Right-hand,Left-arm medium-fast
F du Plessis,JO Holder,44,33,2,133.33,6.06,Right-hand,Right-arm fast-medium
F du Plessis,JP Behrendorff,42,20,0,210.0,0.0,Right-hand,Left-arm fast-medium
F du Plessis,KH Pandya,45,42,1,107.14,2.38,Right-hand,Left-arm orthodox
F du Plessis,KK Ahmed,38,23,1,165.22,4.35,Right-hand,Left-arm fast-medium
F du Plessis,LH Ferguson,69,36,0,191.67,0.0,Right-hand,Right-arm fast
F du Plessis,M Prasidh Krishna,36,37,2,97.3,5.41,Right-hand,Right-arm fast
F du Plessis,M Theekshana,24,26,1,92.31,3.85,Right-hand,Right-arm offbreak
F du Plessis,Mohammed Shami,54,34,1,158.82,2.94,Right-hand,Right-arm fast
F du Plessis,Mustafizur Rahman,30,25,1,120.0,4.0,Right-hand,Left-arm fast-medium
F du Plessis,PJ Cummins,73,38,2,192.11,5.26,Right-hand,Right-arm fast
F du Plessis,PP Chawla,27,26,0,103.85,0.0,Right-hand,Right-arm legbreak
F du Plessis,R Ashwin,45,40,0,112.5,0.0,Right-hand,Right-arm offbreak
F du Plessis,RA Jadeja,35,20,0,175.0,0.0,Right-hand,Left-arm orthodox
F du Plessis,RD Chahar,40,33,0,121.21,0.0,Right-hand,Right-arm legbreak
F du Plessis,Rashid Khan,17,29,2,58.62,6.9,Right-hand,Right-arm legbreak
F du Plessis,Ravi Bishnoi,83,49,1,169.39,2.04,Right-hand,Right-arm legbreak
F du Plessis,SP Narine,34,39,1,87.18,2.56,Right-hand,Right-arm offbreak
F du Plessis,Sandeep Sharma,65,46,1,141.3,2.17,Right-hand,Right-arm medium-fast
F du Plessis,TA Boult,80,66,2,121.21,3.03,Right-hand,Left-arm fast-medium
F du Plessis,YS Chahal,27,28,2,96.43,7.14,Right-hand,Right-arm legbreak
F du Plessis,Yash Dayal,20,21,1,95.24,4.76,Right-hand,Left-arm fast-medium
GJ Maxwell,AR Patel,40,30,0,133.33,0.0,Right-hand,Left-arm orthodox
GJ Maxwell,Avesh Khan,47,23,0,204.35,0.0,Right-hand,Right-arm fast
GJ Maxwell,CV Varun,50,33,5,151.52,15.15,Right-hand,Right-arm legbreak
GJ Maxwell,KH Pandya,30,20,2,150.0,10.0,Right-hand,Left-arm orthodox
GJ Maxwell,R Ashwin,50,32,3,156.25,9.38,Right-hand,Right-arm offbreak
GJ Maxwell,RA Jadeja,35,21,2,166.67,9.52,Right-hand,Left-arm orthodox
GJ Maxwell,RD Chahar,47,28,0,167.86,0.0,Right-hand,Right-arm legbreak
GJ Maxwell,Rashid Khan,41,28,1,146.43,3.57,Right-hand,Right-arm legbreak
GJ Maxwell,Ravi Bishnoi,37,20,1,185.0,5.0,Right-hand,Right-arm legbreak
GJ Maxwell,SP Narine,15,26,2,57.69,7.69,Right-hand,Right-arm offbreak
GJ Maxwell,TA Boult,27,23,1,117.39,4.35,Right-hand,Left-arm fast-medium
GJ Maxwell,YS Chahal,43,23,0,186.96,0.0,Right-hand,Right-arm legbreak
H Klaasen,AR Patel,29,21,1,138.1,4.76,Right-hand,Left-arm orthodox
H Klaasen,CV Varun,78,37,1,210.81,2.7,Right-hand,Right-arm legbreak
H Klaasen,HV Patel,35,23,2,152.17,8.7,Right-hand,Right-arm offbreak
H Klaasen,Harshit Rana,48,26,2,184.62,7.69,Right-hand,Right-arm fast-medium
H Klaasen,JJ Bumrah,41,25,2,164.0,8.0,Right-hand,Right-arm fast
H Klaasen,Rashid Khan,46,32,1,143.75,3.12,Right-hand,Right-arm legbreak
H Klaasen,SN Thakur,35,22,2,159.09,9.09,Right-hand,Right-arm medium-fast
H Klaasen,SP Narine,70,40,0,175.0,0.0,Right-hand,Right-arm offbreak
H Klaasen,Sandeep Sharma,36,22,2,163.64,9.09,Right-hand,Right-arm medium-fast
H Klaasen,TA Boult,33,24,0,137.5,0.0,Right-hand,Left-arm fast-medium
H Klaasen,YS Chahal,53,28,1,189.29,3.57,Right-hand,Right-arm legbreak
HH Pandya,A Nortje,37,30,1,123.33,3.33,Right-hand,Right-arm fast
HH Pandya,AR Patel,36,35,0,102.86,0.0,Right-hand,Left-arm orthodox
HH Pandya,Arshdeep Singh,20,29,1,68.97,3.45,Right-hand,Left-arm medium-fast
HH Pandya,Avesh Khan,35,40,3,87.5,7.5,Right-hand,Right-arm fast
HH Pandya,B Kumar,27,22,1,122.73,4.55,Right-hand,Right-arm medium
HH Pandya,CV Varun,21,25,1,84.0,4.0,Right-hand,Right-arm legbreak
HH Pandya,KH Pandya,29,33,1,87.88,3.03,Right-hand,Left-arm orthodox
HH Pandya,KK Ahmed,37,26,3,142.31,11.54,Right-hand,Left-arm fast-medium
HH Pandya,Kuldeep Yadav,40,33,0,121.21,0.0,Right-hand,Left-arm chinaman
HH Pandya,M Prasidh Krishna,43,34,1,126.47,2.94,Right-hand,Right-arm fast
HH Pandya,OC McCoy,25,20,0,125.0,0.0,Right-hand,Left-arm fast-medium
HH Pandya,R Ashwin,69,41,0,168.29,0.0,Right-hand,Right-arm offbreak
HH Pandya,Ravi Bishnoi,63,30,0,210.0,0.0,Right-hand,Right-arm legbreak
HH Pandya,YS Chahal,48,54,3,88.89,5.56,Right-hand,Right-arm legbreak
