total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand_encoded,bowling_style_encoded,batsman,bowler
34,22,1,154.55,4.55,1,4,73,33
76,55,2,138.18,3.64,1,6,73,34
43,39,1,110.26,2.56,1,4,73,36
42,25,0,168,0,1,0,73,38
38,34,0,111.76,0,1,2,73,41
32,23,1,139.13,4.35,1,11,73,45
43,27,0,159.26,0,1,4,73,47
45,26,1,173.08,3.85,1,6,73,51
52,43,1,120.93,2.33,1,6,73,52
30,29,1,103.45,3.45,1,2,73,56
45,24,1,187.5,4.17,1,8,73,62
32,24,1,133.33,4.17,1,6,73,63
84,55,1,152.73,1.82,1,11,73,65
63,45,1,140,2.22,1,4,73,67
48,29,1,165.52,3.45,1,8,73,68
46,37,0,124.32,0,1,10,73,74
35,25,2,140,8,1,11,73,75
29,33,2,87.88,6.06,1,10,73,76
28,22,1,127.27,4.55,1,4,73,77
43,24,0,179.17,0,1,3,73,81
60,51,1,117.65,1.96,1,2,73,82
60,38,2,157.89,5.26,1,10,73,84
37,24,1,154.17,4.17,1,10,73,87
58,48,3,120.83,6.25,1,8,73,91
35,22,0,159.09,0,1,4,73,94
54,23,1,234.78,4.35,1,10,74,76
41,20,0,205,0,1,3,75,73
34,22,1,154.55,4.55,0,9,76,0
44,20,1,220,5,0,6,76,9
22,20,0,110,0,0,9,76,17
25,23,1,108.7,4.35,0,10,76,76
27,27,1,100,3.7,0,2,76,82
29,21,2,138.1,9.52,0,11,76,89
48,22,1,218.18,4.55,0,8,76,91
31,20,1,155,5,0,10,77,7
30,24,0,125,0,0,6,77,9
32,22,1,145.45,4.55,0,8,77,15
38,22,0,172.73,0,0,11,77,21
64,45,0,142.22,0,0,0,77,38
37,24,0,154.17,0,0,8,77,42
25,20,1,125,5,0,6,77,52
34,25,1,136,4,0,6,77,61
60,50,1,120,2,0,11,77,65
49,37,1,132.43,2.7,0,4,77,67
26,26,2,100,7.69,0,8,77,70
49,30,1,163.33,3.33,0,8,77,72
22,20,1,110,5,0,8,77,80
34,33,0,103.03,0,0,2,77,82
72,45,1,160,2.22,0,8,77,91
33,30,0,110,0,1,4,78,3
91,58,2,156.9,3.45,1,3,78,8
75,46,3,163.04,6.52,1,6,78,9
65,38,2,171.05,5.26,1,9,78,10
40,32,1,125,3.12,1,8,78,15
34,25,0,136,0,1,9,78,17
37,23,1,160.87,4.35,1,11,78,21
74,68,2,108.82,2.94,1,4,78,22
33,24,1,137.5,4.17,1,7,78,23
36,22,1,163.64,4.55,1,6,78,24
45,33,1,136.36,3.03,1,6,78,27
30,30,1,100,3.33,1,3,78,28
35,23,2,152.17,8.7,1,6,78,29
58,56,0,103.57,0,1,4,78,36
35,21,0,166.67,0,1,2,78,37
38,29,0,131.03,0,1,0,78,38
24,21,0,114.29,0,1,6,78,39
26,20,1,130,5,1,2,78,41
28,23,0,121.74,0,1,11,78,45
59,32,0,184.38,0,1,1,78,46
32,23,1,139.13,4.35,1,4,78,47
63,49,1,128.57,2.04,1,6,78,51
63,45,2,140,4.44,1,5,78,59
27,20,0,135,0,1,11,78,64
21,26,0,80.77,0,1,11,78,65
27,24,0,112.5,0,1,4,78,66
56,47,0,119.15,0,1,4,78,67
37,35,0,105.71,0,1,8,78,68
68,50,1,136,2,1,8,78,70
24,34,1,70.59,2.94,1,8,78,72
70,45,2,155.56,4.44,1,3,78,73
37,35,2,105.71,5.71,1,11,78,75
59,34,0,173.53,0,1,10,78,76
53,29,0,182.76,0,1,3,78,81
55,46,1,119.57,2.17,1,2,78,82
63,48,1,131.25,2.08,1,8,78,91
48,26,0,184.62,0,1,2,78,92
31,24,1,129.17,4.17,1,0,79,38
26,24,2,108.33,8.33,1,4,80,3
