batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
AK Markram,SP Narine,47,54,1,87.04,1.85,Right-hand,Right-arm offbreak,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,Yash Dayal,18,20,1,90.0,5.0,Right-hand,Left-arm fast-medium,"M Chinnaswamy Stadium, Bengaluru"
AK Markram,Yash Dayal,18,20,1,90.0,5.0,Right-hand,Left-arm fast-medium,"Narendra Modi Stadium, Ahmedabad"
AK Markram,Yash Dayal,18,20,1,90.0,5.0,Right-hand,Left-arm fast-medium,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,Yash Dayal,18,20,1,90.0,5.0,Right-hand,Left-arm fast-medium,"Wankhede Stadium, Mumbai"
AM Rahane,B Kumar,15,22,1,68.18,4.55,Right-hand,Right-arm medium,"MA Chidambaram Stadium, Chepauk, Chennai"
AM Rahane,B Kumar,15,22,1,68.18,4.55,Right-hand,Right-arm medium,"Maharashtra Cricket Association Stadium, Pune"
AM Rahane,B Kumar,15,22,1,68.18,4.55,Right-hand,Right-arm medium,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AM Rahane,R Ashwin,23,24,2,95.83,8.33,Right-hand,Right-arm offbreak,"Eden Gardens, Kolkata"
AM Rahane,R Ashwin,23,24,2,95.83,8.33,Right-hand,Right-arm offbreak,"MA Chidambaram Stadium, Chepauk, Chennai"
AM Rahane,R Ashwin,23,24,2,95.83,8.33,Right-hand,Right-arm offbreak,"Sawai Mansingh Stadium, Jaipur"
AM Rahane,Suyash Sharma,29,20,0,145.0,0.0,Right-hand,Right-arm legbreak,"Eden Gardens, Kolkata"
AR Patel,Avesh Khan,25,23,0,108.7,0.0,Left-hand,Right-arm fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AR Patel,Avesh Khan,25,23,0,108.7,0.0,Left-hand,Right-arm fast,"Sawai Mansingh Stadium, Jaipur"
